"STUDENTID","SCHOOLID","Group","Posttest_READING","Posttest_LANGUAGE","Posttest_VOCABULARY","Posttest_ELA.TOTAL","Pretest_READING","Pretest_LANGUAGE","Pretest_VOCABULARY","Pretest_ELA.TOTAL","T_assignment"
272025,9,"Delayed",163,176,167,170,146,169,159,160,0
273500,11,"Immediate",165,173,169,170,152,185,177,173,1
274610,4,"Delayed",169,183,191,180,173,185,164,177,0
276756,11,"Delayed",167,178,151,170,146,198,174,177,0
276933,4,"Delayed",165,170,158,166,138,157,161,151,0
277015,9,"Delayed",175,170,182,174,158,180,167,171,0
277054,6,"Immediate",NA,NA,NA,NA,161,166,159,163,1
277075,11,"Immediate",193,195,182,192,158,191,167,176,1
277078,11,"Immediate",171,183,182,179,144,171,174,163,1
277197,6,"Delayed",175,183,169,178,185,174,167,176,0
277235,4,"Immediate",169,185,182,179,156,154,153,154,1
277246,9,"Immediate",169,173,164,170,150,174,170,165,1
277469,11,"Delayed",165,181,167,173,152,171,174,165,0
277548,9,"Immediate",169,168,169,168,144,154,146,149,1
277619,6,"Immediate",175,193,174,184,165,171,156,166,1
279319,11,"Delayed",150,173,158,163,150,157,170,157,0
279327,4,"Immediate",160,178,185,173,163,160,161,161,1
279467,6,"Immediate",173,195,167,183,156,163,159,160,1
279533,9,"Immediate",173,173,169,172,161,151,153,155,1
279698,9,"Delayed",150,168,164,161,156,151,156,154,0
279923,4,"Immediate",163,181,177,174,150,160,164,157,1
280803,9,"Delayed",155,188,161,173,138,151,159,148,0
281854,4,"Immediate",171,193,180,184,163,160,159,161,1
283968,11,"Delayed",173,216,185,197,146,171,164,162,0
284572,4,"Delayed",NA,NA,NA,NA,163,169,174,168,0
284582,4,"Delayed",173,183,180,179,173,182,182,179,0
284698,9,"Immediate",186,200,185,193,156,174,167,167,1
285152,11,"Immediate",190,173,198,183,165,177,170,172,1
285228,6,"Immediate",NA,NA,NA,NA,179,169,167,172,1
285765,6,"Delayed",NA,NA,NA,NA,141,177,164,163,0
286198,6,"Delayed",183,183,185,183,165,177,177,173,0
287533,6,"Delayed",NA,NA,NA,NA,146,157,143,151,0
711918,3,"Immediate",171,178,172,175,154,177,174,169,1
715978,2,"Immediate",177,178,169,176,154,139,159,147,1
727378,3,"Delayed",NA,178,NA,NA,124,174,164,156,0
730166,3,"Immediate",169,176,158,171,152,147,170,153,1
733979,3,"Delayed",160,176,158,168,135,166,143,152,0
746313,21,"Delayed",NA,181,147,NA,NA,160,164,NA,0
751359,22,"Delayed",160,185,169,174,148,169,153,159,0
761756,2,"Delayed",163,173,155,167,132,151,151,145,0
801580,2,"Immediate",171,188,158,177,150,147,174,153,1
806383,15,"Delayed",158,176,155,166,129,157,170,150,0
814649,3,"Immediate",173,183,164,176,NA,154,127,NA,1
822441,17,"Immediate",160,NA,161,NA,NA,182,182,NA,1
822567,7,"Delayed",NA,NA,NA,NA,152,185,159,170,0
824436,14,"Immediate",165,183,147,171,156,160,137,155,1
827338,7,"Delayed",171,185,169,178,154,166,159,161,0
827856,14,"Delayed",165,176,155,169,148,166,161,159,0
827964,14,"Delayed",153,162,155,158,154,154,140,152,0
827986,14,"Immediate",171,162,158,164,148,169,148,158,1
827988,5,"Immediate",177,193,172,184,163,177,164,170,1
828197,14,"Delayed",169,178,155,171,141,163,159,155,0
828248,5,"Immediate",171,181,194,180,167,185,170,177,1
828546,7,"Immediate",167,181,147,171,150,169,146,159,1
831355,5,"Delayed",160,181,169,172,154,160,159,158,0
831399,7,"Delayed",177,168,174,172,148,157,148,152,0
831403,7,"Immediate",179,193,182,187,152,151,161,153,1
831703,5,"Delayed",165,145,167,155,144,171,153,159,0
832865,7,"Delayed",158,170,164,165,141,174,148,159,0
833045,14,"Immediate",163,168,151,163,148,169,159,160,1
835212,15,"Delayed",167,158,155,160,146,157,146,152,0
835569,7,"Immediate",167,193,185,183,156,185,170,173,1
838353,21,"Delayed",NA,168,158,NA,NA,169,161,NA,0
842351,17,"Immediate",NA,NA,NA,NA,NA,182,164,NA,1
843304,17,"Delayed",153,NA,164,NA,NA,185,159,NA,0
843661,7,"Immediate",177,190,161,181,146,160,153,154,1
852158,15,"Immediate",169,176,169,172,NA,127,134,NA,1
859240,21,"Delayed",NA,NA,NA,NA,144,147,153,147,0
860262,3,"Immediate",181,195,185,189,167,180,164,173,1
863544,22,"Immediate",169,181,151,172,146,177,146,162,1
863891,3,"Delayed",169,176,155,170,NA,147,167,NA,0
865768,2,"Immediate",160,168,164,165,152,147,153,150,1
884263,21,"Immediate",NA,178,164,NA,NA,171,151,NA,1
893120,2,"Immediate",183,168,174,174,165,174,164,169,1
894210,2,"Delayed",173,168,169,170,146,166,164,159,0
895093,2,"Delayed",163,170,158,166,150,169,153,160,0
909658,15,"Delayed",171,178,147,170,165,174,153,167,0
922023,15,"Immediate",165,185,188,179,141,188,148,166,1
927378,16,"Delayed",173,198,174,186,NA,188,161,NA,0
927381,16,"Immediate",169,173,155,169,NA,157,164,NA,1
927394,16,"Delayed",NA,183,155,NA,NA,171,156,NA,0
927413,16,"Delayed",NA,NA,135,NA,NA,147,167,NA,0
927425,16,"Delayed",NA,170,169,NA,NA,171,153,NA,0
927438,16,"Immediate",NA,NA,135,NA,NA,169,159,NA,1
927645,16,"Immediate",188,190,185,188,NA,185,174,NA,1
947730,22,"Immediate",181,181,164,178,148,157,164,155,1
957091,15,"Immediate",165,181,169,174,150,169,151,160,1
958418,22,"Delayed",202,200,188,199,181,198,170,188,0
970876,15,"Delayed",160,170,164,166,148,171,151,160,0
971401,15,"Immediate",186,200,180,192,144,169,164,160,1
972185,16,"Immediate",NA,181,164,NA,NA,151,167,NA,1
972756,21,"Immediate",163,173,151,166,144,163,161,156,1
984655,21,"Immediate",146,181,155,165,NA,171,151,NA,1
5793540,20,"Immediate",196,178,174,183,181,185,167,181,1
5793556,10,"Immediate",175,165,169,169,144,151,148,148,1
5793557,10,"Immediate",160,168,155,163,150,166,127,154,1
5793558,10,"Immediate",165,170,155,166,150,160,161,157,1
5793559,10,"Immediate",160,181,161,171,135,160,146,149,1
5793560,10,"Immediate",167,173,188,174,169,169,159,167,1
5793561,10,"Immediate",171,173,167,171,132,163,156,152,1
5793562,10,"Delayed",167,162,151,162,135,182,164,163,0
5793563,10,"Delayed",175,183,174,179,161,191,161,176,0
5793564,10,"Delayed",175,193,174,184,169,185,148,173,0
5793565,10,"Delayed",177,158,169,166,158,188,151,172,0
5793566,10,"Delayed",165,178,147,168,144,171,148,158,0
5793610,19,"Immediate",171,165,167,167,135,169,167,157,1
5793611,19,"Immediate",190,183,180,185,192,180,161,181,1
5793612,19,"Immediate",163,170,155,165,135,191,159,167,1
5793613,19,"Immediate",188,185,177,185,163,177,161,170,1
5793614,19,"Delayed",150,176,167,166,154,185,167,172,0
5793615,19,"Delayed",155,176,158,166,141,163,153,154,0
5793616,19,"Delayed",175,168,182,173,165,182,159,172,0
5793617,19,"Delayed",94,105,92,99.1666666666667,135,169,156,156,0
5793647,12,"Immediate",163,158,164,161,141,182,167,166,1
5793648,12,"Immediate",167,193,174,181,188,157,161,168,1
5793649,12,"Immediate",175,190,167,181,152,182,167,170,1
5793650,12,"Immediate",175,193,194,187,179,163,159,168,1
5793651,12,"Immediate",196,195,191,195,163,180,170,173,1
5793652,12,"Delayed",163,158,161,160,138,195,174,173,0
5793653,12,"Delayed",163,183,155,172,146,160,161,156,0
5793654,12,"Delayed",163,176,167,170,158,174,161,167,0
5793655,12,"Delayed",163,178,169,172,135,182,182,166,0
5793656,12,"Delayed",177,181,155,175,167,166,164,166,0
5793799,20,"Immediate",167,176,164,171,146,163,153,156,1
5793801,20,"Immediate",160,181,164,171,156,154,164,156,1
5793803,20,"Immediate",NA,NA,NA,NA,144,177,167,164,1
5793804,20,"Delayed",155,173,161,165,161,166,161,164,0
5793805,20,"Delayed",160,185,172,175,152,154,161,155,0
5793806,20,"Delayed",165,176,161,170,156,185,167,172,0
5793807,20,"Delayed",179,198,177,188,148,163,161,158,0
5796172,1,"Immediate",171,188,158,177,161,174,156,167,1
5796173,1,"Immediate",163,181,155,171,156,160,161,159,1
5796174,1,"Immediate",177,183,172,179,181,185,164,180,1
5796175,1,"Immediate",173,165,155,166,158,160,161,160,1
5796176,1,"Delayed",167,181,161,173,148,166,153,158,0
5796177,1,"Delayed",175,188,167,180,163,182,156,171,0
5796178,1,"Delayed",173,193,164,181,171,182,170,176,0
5796179,1,"Delayed",163,165,158,163,144,177,161,163,0
8315996,17,"Delayed",169,NA,172,NA,NA,169,164,NA,0
116233008,8,"Delayed",169,165,147,163,146,157,156,153,0
300006749,13,"Delayed",163,190,172,178,156,171,156,164,0
300006896,18,"Immediate",205,188,191,194,144,177,174,166,1
300007001,13,"Immediate",179,173,169,174,158,163,164,162,1
300007053,13,"Delayed",205,216,191,208,185,185,170,182,0
300007065,18,"Delayed",94,105,92,99.1666666666667,141,166,167,158,0
300007138,13,"Immediate",190,200,182,194,167,180,161,172,1
300007141,18,"Immediate",179,181,169,178,161,166,159,163,1
415233002,8,"Delayed",155,173,158,165,148,180,153,165,0
715233001,8,"Immediate",167,162,151,162,146,180,146,163,1
715233008,8,"Immediate",169,178,161,172,144,169,148,157,1
814233041,8,"Delayed",163,170,158,166,135,171,151,156,0
814233042,8,"Immediate",163,173,155,167,81,81,NA,NA,1
